月份,大樂透銷售總額,威力彩銷售總額,今彩539銷售總額,電腦型彩券總銷售額,大樂透銷售注數,威力彩銷售注數,今彩539銷售注數,電腦型彩券總銷售注數,大樂透開獎期數,威力彩開獎期數,今彩539開獎期數,電腦型彩券總開獎期數,大樂透單月最高總獎金,威力彩單月最高總獎金,今彩539單月最高總獎金,當月最高總獎金,大樂透平均每期銷售額,威力彩平均每期銷售額,今彩539平均每期銷售額,電腦型彩券平均每期銷售額
2014-07,1082731100,567398600,941108450,2591238150,21654622,5673986,18822169,46150777,9,9,27,45,360227761,297080003,33778200,360227761,120303455.55555557,63044288.88888889,34855868.518518515,57583070.0
2014-08,884950450,847423400,902071600,2634445450,17699009,8474234,18041432,44214675,9,8,26,43,145981401,565786745,34480450,565786745,98327827.77777778,105927925.0,34695061.538461536,61266173.255813956
2014-09,980727550,826334000,1018426950,2825488500,19614551,8263340,20368539,48246430,9,9,26,44,278955351,627255144,44897800,627255144,108969727.77777778,91814888.8888889,39170267.307692304,64215647.72727273
2014-10,919089550,566772900,998163250,2484025700,18381791,5667729,19963265,44012785,9,9,27,45,150895455,259118848,36180100,259118848,102121061.1111111,62974766.666666664,36969009.25925926,55200571.11111111
2014-11,951095200,684507600,916966200,2552569000,19021904,6845076,18339324,44206304,8,8,25,41,320892077,472503933,38913647,472503933,118886900.0,85563450.0,36678648.0,62257780.487804875
2014-12,984358150,2552347800,996941550,4533647500,19687163,25523478,19938831,65149472,9,9,27,45,244845838,1330759885,37125200,1330759885,109373127.77777778,283594200.0,36923761.11111111,100747722.22222222
2015-01,1275883450,3111276800,1063456550,5450616800,25517669,31112768,21269131,77899568,9,9,27,45,408289487,2325446031,35774300,2325446031,141764827.7777778,345697422.2222222,39387279.62962963,121124817.77777778
2015-02,3482886150,1085895800,1013384950,5582166900,69657723,10858958,20267699,100784380,13,8,24,45,614407269,706322836,39800250,706322836,267914319.2307692,135736975.0,42224372.916666664,124048153.33333333
2015-03,1456339950,2361089100,1022420350,4839849400,29126799,23610891,20448407,73186097,9,9,26,44,532967873,1446149089,37884850,1446149089,161815550.0,262343233.33333337,39323859.615384616,109996577.27272727
2015-04,879658200,5564007900,964424250,7408090350,17593164,55640079,19288485,92521728,8,9,26,43,210540360,3380505101,38258894,3380505101,109957275.0,618223100.0,37093240.384615384,172281170.93023255
2015-05,1301699650,421783000,857602400,2581085050,26033993,4217830,17152048,47403871,9,8,26,43,511919345,185440197,36919950,511919345,144633294.44444445,52722875.0,32984707.692307692,60025233.72093023
2015-06,1100108900,654872300,838819550,2593800750,22002178,6548723,16776391,45327292,9,9,26,44,564050805,588076124,35912547,588076124,122234322.22222222,72763588.8888889,32262290.384615384,58950017.04545455
2015-07,988407200,1336599200,846249700,3171256100,19768144,13365992,16924994,50059130,9,9,27,45,357878206,999418028,36336400,999418028,109823022.22222222,148511022.2222222,31342581.48148148,70472357.77777778
2015-08,710648950,3218257300,822461300,4751367550,14212979,32182573,16449226,62844778,8,9,26,43,129776593,2047766499,35012200,2047766499,88831118.75,357584144.4444444,31633126.923076924,110496919.76744185
2015-09,1098967550,3357450500,878170350,5334588400,21979351,33574505,17563407,73117263,9,8,26,43,508311909,3112695985,40294050,3112695985,122107505.55555557,419681312.5,33775782.692307696,124060195.34883721
2015-10,815997050,683589100,927342900,2426929050,16319941,6835891,18546858,41702690,9,9,27,45,173835652,513223679,44273900,513223679,90666338.8888889,75954344.44444445,34346033.333333336,53931756.666666664
2015-11,750439250,779055100,824755150,2354249500,15008785,7790551,16495103,39294439,8,9,25,42,264421744,705811153,34219450,705811153,93804906.25,86561677.77777778,32990206.0,56053559.52380952
2015-12,780780800,482059200,892542900,2155382900,15615616,4820592,17850858,38287066,9,9,27,45,137126991,202558959,35853400,202558959,86753422.22222222,53562133.333333336,33057144.444444444,47897397.777777776
2016-01,815885150,480095200,879744250,2175724600,16317703,4800952,17594885,38713540,9,8,26,43,171812844,341778798,33773650,341778798,90653905.55555557,60011900.0,33836317.307692304,50598246.511627905
2016-02,2802535050,1101076700,903772800,4807384550,56050701,11010767,18075456,85136924,14,9,25,48,346119645,894314496,35724300,894314496,200181075.0,122341855.55555557,36150912.0,100153844.79166667
2016-03,867443650,908304200,901160500,2676908350,17348873,9083042,18023210,44455125,9,9,27,45,256922374,1117733763,35903350,1117733763,96382627.77777778,100922688.8888889,33376314.814814813,59486852.222222224
2016-04,802623250,418041400,860102300,2080766950,16052465,4180414,17202046,37434925,9,8,26,43,133063661,232414103,34243900,232414103,89180361.1111111,52255175.0,33080857.692307692,48389929.069767445
2016-05,770811450,475316900,840570250,2086698600,15416229,4753169,16811405,36980803,9,9,26,44,161800184,324524158,35413800,324524158,85645716.66666667,52812988.88888889,32329625.0,47424968.18181818
2016-06,880453100,582051400,919019350,2381523850,17609062,5820514,18380387,41809963,8,9,26,43,216441691,439192831,54586600,439192831,110056637.5,64672377.777777776,35346898.07692308,55384275.58139535
2016-07,784263050,732690500,807608100,2324561650,15685261,7326905,16152162,39164328,9,8,26,43,260310379,668223037,34734300,668223037,87140338.8888889,91586312.5,31061850.0,54059573.255813956
2016-08,765844100,1130297000,827040300,2723181400,15316882,11302970,16540806,43160658,9,9,27,45,306863197,1007404655,31840150,1007404655,85093788.8888889,125588555.55555557,30631122.222222224,60515142.222222224
2016-09,1367651350,425095000,767765100,2560511450,27353027,4250950,15355302,46959279,9,9,26,44,661433520,161522753,34431400,661433520,151961261.1111111,47232777.777777776,29529426.923076924,58193442.04545455
2016-10,1464171300,653129300,916707450,3034008050,29283426,6531293,18334149,54148868,8,9,26,43,910534380,576041762,52595797,910534380,183021412.5,72569922.22222222,35257978.84615385,70558326.74418604
2016-11,780259350,495834800,856968950,2133063100,15605187,4958348,17139379,37702914,9,8,26,43,133778917,627804142,37877450,627804142,86695483.33333333,61979350.0,32960344.230769232,49606118.60465116
2016-12,839500000,464905700,910160000,2214565700,16790000,4649057,18203200,39642257,9,9,27,45,200755882,237961142,34565150,237961142,93277777.77777778,51656188.88888889,33709629.62962963,49212571.11111111
2017-01,2802233950,803215400,959877400,4565326750,56044679,8032154,19197548,83274381,12,9,26,47,388359518,728127629,38231750,728127629,233519495.83333337,89246155.55555555,36918361.538461536,97134611.70212767
2017-02,1446313300,1215443400,939337050,3601093750,28926266,12154434,18786741,59867441,9,8,24,41,347281800,1019132961,38337350,1019132961,160701477.7777778,151930425.0,39139043.75,87831554.87804878
