,"消費者物價基本分類指數",
,,,,,,,,"指數基期：民國110年=100"
"統計期","總指數","一.食物類","二.衣著類","三.居住類","四.交通及通訊類","五.醫藥保健類","六.教養娛樂類","七.雜項類"
"111年6月",103.35,106.85,103.14,102.98,103.52,101.17,100.62,101.17
"111年7月",103.32,106.80,101.65,103.25,103.80,101.40,100.75,100.72
"111年8月",103.24,106.50,100.12,103.48,103.56,101.47,100.60,101.12
"111年9月",103.49,107.23,99.42,103.63,103.01,101.58,101.24,101.54
"111年10月",103.77,107.42,107.05,102.64,103.12,101.84,101.86,101.35
"111年11月",103.62,106.84,105.54,102.76,103.11,101.61,102.18,101.42
"111年12月",103.78,107.27,103.55,102.88,103.14,101.93,102.78,101.69
"112年1月",104.71,107.81,101.11,103.23,103.87,101.98,105.02,105.05
"112年2月",104.06,107.34,99.96,103.22,103.73,102.38,103.60,102.88
"112年3月",104.32,108.41,99.53,103.38,103.56,102.46,103.32,103.03
"112年4月",105.11,108.82,105.16,103.66,104.14,102.77,104.36,103.72
"112年5月",105.04,109.07,104.29,103.74,103.73,102.93,103.63,104.05
"112年6月",105.16,108.33,103.08,105.03,103.86,102.93,104.12,103.95
"112年7月",105.26,108.17,102.78,105.18,104.34,103.88,104.43,103.69
"112年8月",105.85,110.17,101.16,105.32,105.37,103.83,104.32,103.67
"112年9月",106.52,112.36,100.55,105.51,105.36,104.29,104.19,104.30
"112年10月",106.92,113.34,108.80,104.54,104.80,104.44,104.99,103.66
"112年11月",106.62,112.87,106.56,104.66,104.28,104.66,104.70,103.78
"112年12月",106.58,112.33,105.79,104.75,104.08,104.73,105.23,104.32
"113年1月",106.59,112.24,103.59,105.03,104.43,105.13,104.96,104.75
"113年2月",107.26,112.16,101.77,105.29,104.89,105.66,107.47,107.18
"113年3月",106.56,111.51,101.11,105.38,104.90,105.73,105.28,105.40
"113年4月",107.15,111.63,104.88,105.82,104.86,106.39,106.00,106.33
"113年5月",107.38,112.78,104.06,106.14,104.67,106.48,105.25,106.58
"113年6月",107.71,112.83,103.50,107.42,104.81,106.82,105.85,106.11
"113年7月",107.92,113.13,102.81,107.61,105.26,107.27,106.38,105.86
"113年8月",108.34,115.27,100.79,107.71,105.37,107.18,106.19,105.65
"113年9月",108.46,115.74,100.71,108.02,104.66,107.07,106.00,106.15
"113年10月",108.73,116.39,108.02,106.88,104.05,107.13,106.32,106.12
"113年11月",108.84,117.19,106.42,107.09,103.81,106.89,106.02,106.36
"113年12月",108.82,116.91,104.88,107.25,103.76,107.29,106.21,106.94
"114年1月",109.44,116.43,102.70,107.53,104.99,107.56,108.60,109.14
"114年2月",109.00,116.70,101.17,107.61,104.70,107.77,106.27,108.47
"114年3月",109.05,116.98,100.79,107.72,104.43,108.06,106.14,108.68
"114年4月",109.33,116.49,104.76,107.83,104.10,108.61,106.76,109.35
"114年5月",109.03,116.27,103.48,108.07,103.00,108.69,106.48,109.17
"114年6月",109.17,116.00,102.55,109.33,103.37,108.77,106.49,108.40
"114年7月",109.57,116.41,101.58,109.51,104.29,108.98,107.93,107.96
"114年8月",110.07,118.92,99.93,109.67,103.96,109.06,107.57,108.37
"114年9月",109.82,118.79,99.78,109.77,102.54,109.14,107.01,108.83
"114年10月",110.33,118.72,108.46,109.03,102.59,108.97,107.86,109.42
"114年11月",110.16,118.91,106.21,109.08,102.64,108.86,107.35,109.27
"114年12月",110.24,118.37,105.82,109.26,102.37,108.93,108.00,110.43


"註解："
"由於受查者延誤或更正報價，最近3個月資料均可能修正。"
""
